name,roc_auc,pr_auc,time_s
Logistic Regression,0.9731239340840445,0.7231300179230253,0.0035054683685302734
Random Forest,0.9793584657413894,0.8225786623128584,0.15567350387573242
XGBoost,0.9806137881432819,0.8625184415767583,0.034505605697631836
